domain,problem,our_transformation_time,our_fd_time,our_total_time,our_h_value,our_status,our_fd_ground_time,our_search_time,our_planning_time,baseline_total_time,baseline_h_value,baseline_status,baseline_fd_ground_time,baseline_search_time,baseline_planning_time
blocksworld-large-simple/goal-2,p-100-2,0.077,2.672,2.766,4,SUCCESS,2.567,0.105,2.672,2.155,4,SUCCESS,1.957,0.198,2.155
blocksworld-large-simple/goal-2,p-1100-2,0.076,106.248,106.342,N/A,OOM,N/A,N/A,106.248,95.841,N/A,OOM,95.72,0.121,95.841
blocksworld-large-simple/goal-2,p-1300-2,0.083,93.448,93.549,N/A,OOM,N/A,N/A,93.448,69.592,N/A,OOM,69.53,0.062,69.592
blocksworld-large-simple/goal-2,p-1500-2,0.084,96.826,96.928,N/A,OOM,N/A,N/A,96.826,300.217,N/A,ERROR,300.15,0.067,300.217
blocksworld-large-simple/goal-2,p-1700-2,0.094,300.219,300.331,N/A,ERROR,300.15,0.069,300.219,93.204,N/A,OOM,93.14,0.064,93.204
blocksworld-large-simple/goal-2,p-1900-2,0.092,62.952,63.062,N/A,OOM,N/A,N/A,62.952,96.541,N/A,OOM,96.48,0.061,96.541
blocksworld-large-simple/goal-2,p-300-2,0.066,28.66,28.744,4,SUCCESS,28.561,0.099,28.66,23.01,4,SUCCESS,21.048,1.962,23.01
blocksworld-large-simple/goal-2,p-500-2,0.065,84.422,84.504,4,SUCCESS,84.302,0.12,84.422,68.88,4,SUCCESS,61.181,7.699,68.88
blocksworld-large-simple/goal-2,p-700-2,0.071,174.958,175.046,4,SUCCESS,174.821,0.137,174.958,130.311,N/A,OOM,123.132,7.179,130.311
blocksworld-large-simple/goal-2,p-900-2,0.073,103.146,103.236,N/A,OOM,N/A,N/A,103.146,106.026,N/A,OOM,105.93,0.096,106.026
blocksworld-large-simple/goal-3,p-100-3,0.06,2.694,2.77,6,SUCCESS,2.599,0.095,2.694,2.057,6,SUCCESS,1.867,0.19,2.057
blocksworld-large-simple/goal-3,p-1100-3,0.075,100.516,100.608,N/A,OOM,N/A,N/A,100.516,89.647,N/A,OOM,89.59,0.057,89.647
blocksworld-large-simple/goal-3,p-1300-3,0.121,86.835,86.973,N/A,OOM,N/A,N/A,86.835,300.199,N/A,ERROR,300.13,0.069,300.199
blocksworld-large-simple/goal-3,p-1500-3,0.078,300.167,300.262,N/A,ERROR,300.09,0.077,300.167,75.707,N/A,OOM,75.63,0.077,75.707
blocksworld-large-simple/goal-3,p-1700-3,0.094,300.219,300.33,N/A,ERROR,300.12,0.099,300.219,93.655,N/A,OOM,93.59,0.065,93.655
blocksworld-large-simple/goal-3,p-1900-3,0.093,300.201,300.31,N/A,ERROR,300.12,0.081,300.201,95.704,N/A,OOM,95.61,0.094,95.704
blocksworld-large-simple/goal-3,p-300-3,0.059,28.963,29.039,6,SUCCESS,28.866,0.097,28.963,22.997,6,SUCCESS,21.046,1.951,22.997
blocksworld-large-simple/goal-3,p-500-3,0.064,84.137,84.217,6,SUCCESS,84.017,0.12,84.137,69.112,6,SUCCESS,61.399,7.713,69.112
blocksworld-large-simple/goal-3,p-700-3,0.07,175.554,175.641,6,SUCCESS,175.394,0.16,175.554,131.984,N/A,OOM,124.734,7.25,131.984
blocksworld-large-simple/goal-3,p-900-3,0.073,102.101,102.191,N/A,OOM,N/A,N/A,102.101,91.575,N/A,OOM,91.50,0.075,91.575
blocksworld-large-simple/goal-4,p-100-4,0.058,2.669,2.744,8,SUCCESS,2.571,0.098,2.669,2.183,8,SUCCESS,1.99,0.193,2.183
blocksworld-large-simple/goal-4,p-1100-4,0.079,100.225,100.321,N/A,OOM,N/A,N/A,100.225,89.673,N/A,OOM,89.61,0.063,89.673
blocksworld-large-simple/goal-4,p-1300-4,0.079,86.227,86.322,N/A,OOM,N/A,N/A,86.227,67.656,N/A,OOM,67.60,0.056,67.656
blocksworld-large-simple/goal-4,p-1500-4,0.081,96.27,96.368,N/A,OOM,N/A,N/A,96.27,87.53,N/A,OOM,87.48,0.05,87.53
blocksworld-large-simple/goal-4,p-1700-4,0.08,61.427,61.524,N/A,OOM,N/A,N/A,61.427,78.838,N/A,OOM,78.77,0.068,78.838
blocksworld-large-simple/goal-4,p-1900-4,0.092,63.627,63.736,N/A,OOM,N/A,N/A,63.627,95.394,N/A,OOM,95.29,0.104,95.394
blocksworld-large-simple/goal-4,p-300-4,0.062,28.748,28.826,8,SUCCESS,28.646,0.102,28.748,23.032,8,SUCCESS,21.034,1.998,23.032
blocksworld-large-simple/goal-4,p-500-4,0.064,84.161,84.242,8,SUCCESS,84.026,0.135,84.161,69.335,8,SUCCESS,61.568,7.767,69.335
blocksworld-large-simple/goal-4,p-700-4,0.071,174.515,174.602,8,SUCCESS,174.355,0.16,174.515,131.807,N/A,OOM,124.972,6.835,131.807
blocksworld-large-simple/goal-4,p-900-4,0.074,102.066,102.157,N/A,OOM,N/A,N/A,102.066,106.013,N/A,OOM,105.96,0.053,106.013
blocksworld-large-simple/goal-5,p-100-5,0.059,2.606,2.682,10,SUCCESS,2.517,0.089,2.606,2.185,10,SUCCESS,1.991,0.194,2.185
blocksworld-large-simple/goal-5,p-1100-5,0.075,100.384,100.476,N/A,OOM,N/A,N/A,100.384,89.385,N/A,OOM,89.32,0.065,89.385
blocksworld-large-simple/goal-5,p-1300-5,0.078,300.194,300.289,N/A,ERROR,300.13,0.064,300.194,67.398,N/A,OOM,67.34,0.058,67.398
blocksworld-large-simple/goal-5,p-1500-5,0.078,301.196,301.291,N/A,ERROR,301.11,0.086,301.196,87.907,N/A,OOM,87.82,0.087,87.907
blocksworld-large-simple/goal-5,p-1700-5,0.081,300.179,300.277,N/A,ERROR,300.09,0.089,300.179,300.19,N/A,ERROR,300.13,0.06,300.19
blocksworld-large-simple/goal-5,p-1900-5,0.092,300.196,300.305,N/A,ERROR,300.13,0.066,300.196,95.592,N/A,OOM,95.49,0.102,95.592
