domain,problem,our_transformation_time,our_fd_time,our_total_time,our_h_value,our_status,our_fd_ground_time,our_search_time,our_planning_time,baseline_total_time,baseline_h_value,baseline_status,baseline_fd_ground_time,baseline_search_time,baseline_planning_time
blocksworld-large-simple/goal-2,p-100-2,0.078,2.697,2.792,2,SUCCESS,2.588,0.109,2.697,2.134,2,SUCCESS,1.941,0.193,2.134
blocksworld-large-simple/goal-2,p-1100-2,0.075,102.641,102.734,N/A,OOM,N/A,N/A,102.641,90.707,N/A,OOM,90.52,0.187,90.707
blocksworld-large-simple/goal-2,p-1300-2,0.082,74.77,74.871,N/A,OOM,N/A,N/A,74.77,82.335,N/A,OOM,82.37,0,82.335
blocksworld-large-simple/goal-2,p-1500-2,0.078,301.222,301.316,N/A,ERROR,301.15,0.072,301.222,90.038,N/A,OOM,89.90,0.138,90.038
blocksworld-large-simple/goal-2,p-1700-2,0.081,300.198,300.294,N/A,ERROR,300.19,0.008,300.198,93.037,N/A,OOM,92.90,0.137,93.037
blocksworld-large-simple/goal-2,p-1900-2,0.092,62.034,62.143,N/A,OOM,N/A,N/A,62.034,94.307,N/A,OOM,94.20,0.107,94.307
blocksworld-large-simple/goal-2,p-300-2,0.063,28.51,28.59,2,SUCCESS,28.408,0.102,28.51,23.092,2,SUCCESS,21.131,1.961,23.092
blocksworld-large-simple/goal-2,p-500-2,0.065,84.314,84.395,2,SUCCESS,84.181,0.133,84.314,69.15,2,SUCCESS,61.239,7.911,69.15
blocksworld-large-simple/goal-2,p-700-2,0.065,174.899,174.981,2,SUCCESS,174.766,0.133,174.899,132.437,N/A,OOM,125.433,7.004,132.437
blocksworld-large-simple/goal-2,p-900-2,0.073,100.965,101.054,N/A,OOM,N/A,N/A,100.965,90.884,N/A,OOM,90.83,0.054,90.884
blocksworld-large-simple/goal-3,p-100-3,0.058,2.746,2.821,2,SUCCESS,2.65,0.096,2.746,2.155,2,SUCCESS,1.962,0.193,2.155
blocksworld-large-simple/goal-3,p-1100-3,0.075,100.556,100.648,N/A,OOM,N/A,N/A,100.556,88.522,N/A,OOM,88.48,0.042,88.522
blocksworld-large-simple/goal-3,p-1300-3,0.079,300.2,300.297,N/A,ERROR,300.12,0.08,300.2,81.101,N/A,OOM,81.10,0.001,81.101
blocksworld-large-simple/goal-3,p-1500-3,0.081,81.165,81.264,N/A,OOM,N/A,N/A,81.165,300.222,N/A,ERROR,300.13,0.092,300.222
blocksworld-large-simple/goal-3,p-1700-3,0.081,300.187,300.284,N/A,ERROR,300.18,0.007,300.187,78.02,N/A,OOM,77.90,0.12,78.02
blocksworld-large-simple/goal-3,p-1900-3,0.091,300.158,300.266,N/A,ERROR,300.05,0.108,300.158,95.263,N/A,OOM,95.22,0.043,95.263
blocksworld-large-simple/goal-3,p-300-3,0.062,28.601,28.679,2,SUCCESS,28.491,0.11,28.601,23.299,2,SUCCESS,21.346,1.953,23.299
