domain,problem,our_transformation_time,our_fd_time,our_total_time,our_h_value,our_status,our_fd_ground_time,our_search_time,our_planning_time,baseline_total_time,baseline_h_value,baseline_status,baseline_fd_ground_time,baseline_search_time,baseline_planning_time
blocksworld-large-simple/goal-2,p-100-2,0.133,3.037,3.197,4,SUCCESS,2.921,0.116,3.037,2.49,4,SUCCESS,2.298,0.192,2.49
blocksworld-large-simple/goal-2,p-1100-2,0.096,120.644,120.763,N/A,OOM,N/A,N/A,120.644,107.257,N/A,OOM,107.17,0.087,107.257
blocksworld-large-simple/goal-2,p-1300-2,0.1,300.347,300.467,N/A,ERROR,300.22,0.127,300.347,95.36,N/A,OOM,95.28,0.08,95.36
blocksworld-large-simple/goal-2,p-1500-2,0.095,117.088,117.202,N/A,OOM,N/A,N/A,117.088,103.008,N/A,OOM,102.92,0.088,103.008
blocksworld-large-simple/goal-2,p-1700-2,0.109,79.488,79.615,N/A,OOM,N/A,N/A,79.488,93.575,N/A,OOM,93.47,0.105,93.575
blocksworld-large-simple/goal-2,p-1900-2,0.118,76.406,76.547,N/A,OOM,N/A,N/A,76.406,114.572,N/A,OOM,114.46,0.112,114.572
blocksworld-large-simple/goal-2,p-300-2,0.08,34.091,34.192,4,SUCCESS,33.976,0.115,34.091,25.218,4,SUCCESS,23.498,1.72,25.218
blocksworld-large-simple/goal-2,p-500-2,0.076,102.097,102.192,4,SUCCESS,101.945,0.152,102.097,76.447,4,SUCCESS,69.761,6.686,76.447
blocksworld-large-simple/goal-2,p-700-2,0.094,218.006,218.122,4,SUCCESS,217.778,0.228,218.006,149.876,N/A,OOM,142.05,7.826,149.876
blocksworld-large-simple/goal-2,p-900-2,0.085,119.58,119.684,N/A,OOM,N/A,N/A,119.58,103.869,N/A,OOM,103.77,0.099,103.869
blocksworld-large-simple/goal-3,p-100-3,0.066,2.973,3.057,6,SUCCESS,2.863,0.11,2.973,2.492,6,SUCCESS,2.295,0.197,2.492
blocksworld-large-simple/goal-3,p-1100-3,0.086,120.932,121.036,N/A,OOM,N/A,N/A,120.932,102.501,N/A,OOM,102.38,0.121,102.501
blocksworld-large-simple/goal-3,p-1300-3,0.095,103.728,103.842,N/A,OOM,N/A,N/A,103.728,95.218,N/A,OOM,95.14,0.078,95.218
