domain,problem,our_transformation_time,our_fd_time,our_total_time,our_h_value,our_status,our_fd_ground_time,our_search_time,our_planning_time,baseline_total_time,baseline_h_value,baseline_status,baseline_fd_ground_time,baseline_search_time,baseline_planning_time
blocksworld-large-simple/goal-2,p-100-2,0.166,3.83,4.091,2,SUCCESS,3.657,0.173,3.83,3.337,2,SUCCESS,3.026,0.311,3.337
blocksworld-large-simple/goal-2,p-1100-2,0.19,172.983,173.275,N/A,TIMEOUT,165.64,7.343,172.983,150.919,N/A,TIMEOUT,144.87,6.049,150.919
blocksworld-large-simple/goal-2,p-1300-2,0.218,120.205,120.522,N/A,TIMEOUT,116.09,4.115,120.205,143.205,N/A,TIMEOUT,133.41,9.795,143.205
blocksworld-large-simple/goal-2,p-1500-2,0.216,154.195,154.509,N/A,TIMEOUT,148.04,6.155,154.195,158.516,N/A,TIMEOUT,146.88,11.636,158.516
blocksworld-large-simple/goal-2,p-1700-2,0.224,140.479,140.802,N/A,TIMEOUT,134.67,5.809,140.479,142.328,N/A,TIMEOUT,134.12,8.208,142.328
blocksworld-large-simple/goal-2,p-1900-2,0.229,238.516,238.847,N/A,TIMEOUT,219.15,19.366,238.516,144.852,N/A,TIMEOUT,138.92,5.932,144.852
blocksworld-large-simple/goal-2,p-300-2,0.181,38.301,38.582,2,SUCCESS,38.096,0.205,38.301,32.414,2,SUCCESS,29.996,2.418,32.414
blocksworld-large-simple/goal-2,p-500-2,0.164,108.728,108.989,2,SUCCESS,108.533,0.195,108.728,95.312,2,SUCCESS,86.415,8.897,95.312
blocksworld-large-simple/goal-2,p-700-2,0.183,226.113,226.394,2,SUCCESS,225.879,0.234,226.113,198.961,2,SUCCESS,175.047,23.914,198.961
blocksworld-large-simple/goal-2,p-900-2,0.206,169.974,170.281,N/A,TIMEOUT,164.92,5.054,169.974,217.378,N/A,TIMEOUT,215.10,2.278,217.378
blocksworld-large-simple/goal-3,p-100-3,0.17,3.857,4.127,2,SUCCESS,3.68,0.177,3.857,3.36,2,SUCCESS,3.045,0.315,3.36
blocksworld-large-simple/goal-3,p-1100-3,0.178,165.148,165.426,N/A,TIMEOUT,160.60,4.548,165.148,152.017,N/A,TIMEOUT,149.33,2.687,152.017
blocksworld-large-simple/goal-3,p-1300-3,0.215,151.479,151.795,N/A,TIMEOUT,146.20,5.279,151.479,190.349,N/A,TIMEOUT,178.28,12.069,190.349
blocksworld-large-simple/goal-3,p-1500-3,0.214,142.618,142.93,N/A,TIMEOUT,139.06,3.558,142.618,186.073,N/A,TIMEOUT,172.67,13.403,186.073
blocksworld-large-simple/goal-3,p-1700-3,0.221,174.282,174.6,N/A,TIMEOUT,168.99,5.292,174.282,162.733,N/A,TIMEOUT,154.00,8.733,162.733
blocksworld-large-simple/goal-3,p-1900-3,0.226,122.811,123.134,N/A,TIMEOUT,120.02,2.791,122.811,161.901,N/A,TIMEOUT,154.54,7.361,161.901
blocksworld-large-simple/goal-3,p-300-3,0.175,38.355,38.627,2,SUCCESS,38.154,0.201,38.355,32.511,2,SUCCESS,30.109,2.402,32.511
blocksworld-large-simple/goal-3,p-500-3,0.164,108.269,108.53,2,SUCCESS,108.067,0.202,108.269,94.856,2,SUCCESS,86.228,8.628,94.856
blocksworld-large-simple/goal-3,p-700-3,0.175,223.596,223.871,2,SUCCESS,223.35,0.246,223.596,200.458,2,SUCCESS,176.884,23.574,200.458
blocksworld-large-simple/goal-3,p-900-3,0.196,231.538,231.831,N/A,TIMEOUT,228.82,2.718,231.538,297.959,N/A,TIMEOUT,295.98,1.979,297.959
blocksworld-large-simple/goal-4,p-100-4,0.167,3.914,4.179,2,SUCCESS,3.733,0.181,3.914,3.408,2,SUCCESS,3.09,0.318,3.408
blocksworld-large-simple/goal-4,p-1100-4,0.178,198.563,198.838,N/A,TIMEOUT,192.73,5.833,198.563,190.883,N/A,TIMEOUT,185.00,5.883,190.883
